STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-08,,-0.7,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-07,,-0.3,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2020-06,,-0.8,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-06,,9.8,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-05,,9.1,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-04,,9.3,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-03,,9,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-02,,8.4,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2000-01,,7.8,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2001-08,,8.8,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2001-07,,9.1,,A,Normal value,,,,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_HICP(1.0),Eurostat harmonised index of consumer prices (HICP),I,SVN,Slovenia,M,Monthly,HICP,Eurostat harmonised index of consumer prices (HICP),CPI,Consumer price index,PA,Percent per annum,_T,Total,N,Neither seasonally adjusted nor calendar adjusted,GY,"Growth rate, over 1 year",2001-06,,9.8,,A,Normal value,,,,,,,2,Two
